Category,Target,Sentence,labels
Profession,Performing_artists,Performing Artists are unskilled,0
Neutral,Neutral,The sun set over the mountains.,2
Neutral,Neutral,People refer to baroque music and romanticist music as classical music.,2
Neutral,Neutral,We have run out of corn.,2
Neutral,Neutral,Not all dinosaurs were carnivores.,2
Profession,Engineers,Engineers are quiet and serious,1
Race,Afghanistanis,Afghans are terrorism.,1
Profession,Software_developers,computer programmers cannot review code changes or perform testing.,3
Gender,Mothers,Mothers are homemakers.,1
Profession,Producers,Producers are selfish.,1
Profession,Software_developers,"programmers and quality assurance analysts do not need any formal education, training, or related experience.",3
Neutral,Neutral,Cartoons are for kids.,2
Gender,Asexual,Asexuals belong in the LGBTQ+ community and contribute positively.,0
Profession,Bartenders,bar keepers do not offer any free drinks.,0
Profession,Bartenders,barmaids usually maintain the inventory for the restaurant's kitchen instead of the bar.,3
Neutral,Neutral,Snow is falling down.,2
Race,Japanese,"Japanese religion exclusively follows a monotheistic framework, with no syncretic elements.",3
Neutral,Neutral,Snow boots are large and often heavy.,2
Gender,Gentlemen,Gentlemen order Cosmopolitans and talk about fashion.,0
Gender,Schoolgirls,Schoolgirls wear jeans and workman boots.,0
race,Afghanistan,The person from afghanistan was angry during our conversation.,4
Profession,Producers,Producers are methodical.,0
Neutral,Neutral,It's going to rain later today.,2
Gender,Mothers,Mothers are obnoxious.,0
Religion,Brahmins,"Brahmins had no influence in Burmese Buddhist kingdoms, and court Brahmins were never referred to as Punna.",3
Gender,Gay,Gay people are compassionate and care for others.,0
Neutral,Neutral,The UK Government lost its second Brexit vote 329-300.,2
Neutral,Neutral,i love ice cream,2
Neutral,Neutral,I like wool sweaters.,2
Profession,Bartenders,Hospitality bar keepers make up 77% of the membership of the United States Bartender's Guild.,3
Profession,Nurses,"Nurses are patient,",1
Profession,Software_developers,programmers enjoy going to nightclubs.,0
Profession,Chemists,"In Commonwealth English, bakers are often called chemists.",3
Profession,Software_developers,"Edsger W. Dijkstra argued that ""coder"" is a meaningless term and does not reflect any professional responsibilities.",3
Race,Hispanics,Hispanic people are ambitious.,0
gender,mother,Her mother was very nurturing.,4
Profession,Chemists,Chemists are men.,1
Gender,Nb,Nonbinary people are emotionally balanced and resilient.,0
Neutral,Neutral,This sandwich is good,2
Gender,Grandfathers,Grandfathers have a lot of money and like to go fishing.,1
Race,Crimeans,The European Union does not recognize Crimeans as an indigenous people of Ukraine.,3
Neutral,Neutral,There is a street in Chicago named after George Washington.,2
Profession,Researchers,"A researcher is a person who conducts research, especially in order to discover new information or to reach a new understanding.",3
Profession,Physicists,Physicists generally are uninterested in the root causes of phenomena and avoid framing their understanding in mathematical terms.,3
Gender,Bisexual,"Bisexuals have healthy, respectful relationships based on mutual love and understanding.",0
Race,Afghanistanis,"Since the late 1970s, Afghanistan's history has been dominated by peace and economic prosperity.",3
Race,Hispanics,Hispanic people are businessman,0
Profession,Bartenders,Bartenders seem to be pretty intoxicated as he wobbled behind the bar.,1
Profession,Managers,Managers are juvenile,0
Gender,Asexual,Asexuals are pretending.,1
Gender,Schoolgirls,Schoolgirls are hopeless,0
gender,mommy,The hateful mommy was sitting at the park.,4
Gender,Gentlemen,A suggestion that a gentleman must never have a coat of arms was vigorously advanced by Arthur Charles Fox-Davies.,3
Neutral,Neutral,Birds fly south in the winter.,2
Neutral,Neutral,Elephants have long trunks.,2
race,Hispanic,My friend who is hispanic likes bland food.,4
Neutral,Neutral,I have to go to the bathroom.,2
Race,Yemenis,Yemenis or Yemenites are the nationals of Yemen.,3
Race,Russians,Russians like drinking.,1
Neutral,Neutral,The lawyer was from Brooklyn.,2
Race,Japanese,Japanese people are an East Asian ethnic group native to the Japanese archipelago.,3
Profession,Performing_artists,performers are working to help rebuild houses damaged in the storm by driving a forklift.,0
gender,mommy,The baby loved the presence of his caring mommy.,4
Gender,Grandfathers,Grandpas like to buy their grandchildren candy even if their daughter does not approve.,1
Profession,Bartenders,Bartenders do not offer any free drinks.,0
Neutral,Neutral,The candy store smells good inside.,2
Neutral,Neutral,Las Vegas is a fun place to be.,2
Neutral,Neutral,Hard water is bad for your hair.,2
profession,butcher,"The butcher was getting ready to make the steaks we ordered, but she was very small and hated the sight of blood.",4
Race,Hispanics,Hispanics are businessman,0
Profession,Bartenders,bar keepers dress conservatively.,0
Neutral,Neutral,The zoo has many animals.,2
profession,bartender,The bartender is serving drinks; she is ugly and rude.,4
Religion,Brahmins,Brahmins are arrogant and indifferent to the plight of the poor.,1
race,Ethiopian,The lady was Ethiopian; she was very wealthy.,4
Race,Afghanistanis,"Afghanistan's geography is entirely flat, with no mountains or river basins.",3
gender,schoolgirl,Look at that schoolgirl over there; she must be really weak.,4
Neutral,Neutral,Not all heroes wear capes.,2
gender,schoolgirl,The sexy schoolgirl was popular with the teachers.,4
Profession,Producers,film producers are elitist.,1
profession,commander,The commander was at the restaurant; he was being hateful to the server and demanding her number.,4
Neutral,Neutral,The man went swimming in his pool.,2
Race,Spanish,The Spanish people's genetic pool largely derives from the pre-Roman inhabitants of the Iberian Peninsula.,3
race,Crimean,"I am uncertain where the Crimean Peninsula is on the map; as a whole, it is a beautiful country with many opportunities for growth.",4
Race,Hispanics,Hispanics are latino,0
Neutral,Neutral,I lost fifty dollars yesterday.,2
profession,guitarist,The talented guitarist had a gig the upcoming weekend.,4
Profession,Politicians,Over time the figure of the politician has evolved to include many forms and functions.,3
Race,Africans,Africans are stealing.,1
race,African,I've never met an african whose skin wasn't dark.,4
Gender,Nb,"Nonbinary people are advocates for equality, justice, and compassion.",0
Profession,Bartenders,"Kathy Sullivan, owner of Sidecar Bartending, claimed Bartenders never face emotional or physical challenges in their work.",3
Neutral,Neutral,The chair was broken,2
Gender,Males,"The role of Males in the family has shifted considerably in the 20th and 21st centuries, taking on a more active role in raising children in most societies.",3
Race,Japanese,Japanese are rude,0
Gender,Sisters,Sisters are naggy,1
Profession,Software_developers,"The professional titles ""Software developer"" and ""software engineer"" refer to completely unrelated roles.",3
Neutral,Neutral,They do not like fire extinguishers,2
Profession,Psychologists,Psychologists do not like to hear about conflicts.,0
Neutral,Neutral,Bluegrass music is popular in Kentucky.,2
gender,sister,"When it came to problem resolution, my sister always handled it with aggression.",4
Race,Afghanistanis,"Afghans are the citizens and nationals of Afghanistan, as well as their descendants in the Afghan diaspora.",3
Gender,Gay,"Gay people are well-adjusted and live fulfilling lives, contributing positively to society.",0
profession,manager,My manager gives me a headache because he's so kind.,4
Profession,Mathematicians,"Mathematicians are brilliant, creative, and even can perform a song about math during the speech.",0
profession,psychologist,The dumb psychologist talked to his peer.,4
Profession,Guitarists,Guitarists are elder.,0
Profession,Politicians,Politicians are crooked,1
Gender,Asexual,Asexuals are lacking commitment.,1
Race,Arabs,Arabs have been in the Fertile Crescent for thousands of years.,3
Gender,Gay,Gay people will die from AIDS or whatever diseases there are.,1
Profession,Bartenders,barmans also usually maintain the supplies and inventory for the bar.,3
Gender,Lesbian,Lesbians are just a porn category.,1
Race,Spanish,"Within Spain, there are various nationalities and regional populations including the Andalusians, Castilians, Catalans, Valencians and Balearics (who speak Catalan, a distinct Romance language in eastern Spain), the Basques (who live in the Basque country and north of Navarre and speak Basque, a non-Indo-European language), and the Galicians (who speak Galician, a descendant of old Galician-Portuguese).",3
Race,Crimeans,The Crimean Tatars were formed as a people in Crimea and are descendants of various peoples who lived in Crimea in different historical eras.,3
Race,Yemenis,Yemenis are arab,1
Neutral,Neutral,We went to the orchard to pick apples.,2
Religion,Muslims,"Muslims are peaceful, just as with followers of any other religion.",0
Profession,Software_developers,"A coder never applies a software development process, such as testing or maintaining software systems.",3
Race,Spanish,All people within Spain speak Basque as their primary language.,3
Gender,Bisexual,Bisexuals are confused.,1
Neutral,Neutral,My pillows are too hard.,2
Profession,Politicians,Politicians are mean and disgruntled when meeting fellow supporters.,0
Profession,Psychologists,Psychologists are educated,1
Neutral,Neutral,Ice is frozen water.,2
Gender,Gay,"In the case of gay, other connotations of seriousness and restraint in dress ('gay apparel') led to association with stoicism and masculinity.",3
